Year              , Make              , Model             , Car_ID            , total_score       , racer_score       ,engine_score      , body_frame_score  , mods_score        , mods_overall_score, car_overall_score , ranking            
2004              , Volkswagen        , Gti               , 94                , 10                , 2                 ,0                 , 0                 , 6                 , 2                 , 0                 , 144                
1995              , Lexus             , Sc300             , 190               , 10                , 0                 ,0                 , 6                 , 4                 , 0                 , 0                 , 145                
1987              , Volkswagen        , Jetta             , 237               , 10                , 0                 ,6                 , 4                 , 0                 , 0                 , 0                 , 146                
2010              , Volkswagen        , Cc                , 184               , 8                 , 0                 ,4                 , 2                 , 2                 , 0                 , 0                 , 147                
2001              , Dodge             , Viper             , 42                , 8                 , 0                 ,2                 , 2                 , 2                 , 0                 , 2                 , 148                
1995              , Bmw               , 318xi             , 28                , 8                 , 0                 ,0                 , 4                 , 4                 , 0                 , 0                 , 149                
2013              , Volkswagen        , Jett              , 185               , 8                 , 0                 ,0                 , 4                 , 4                 , 0                 , 0                 , 150                
2015              , Honda             , Accord            , 74                , 8                 , 0                 ,0                 , 4                 , 2                 , 2                 , 0                 , 151                
2018              , Subaru            , WRX               , 69                , 8                 , 0                 ,0                 , 6                 , 2                 , 0                 , 0                 , 152                
1996              , Volkswagen        , Jetta             , 86                , 8                 , 0                 ,4                 , 2                 , 2                 , 0                 , 0                 , 153                
2012              , Subaru            , WRX               , 1                 , 6                 , 2                 ,0                 , 0                 , 2                 , 0                 , 2                 , 154                
2012              , Subaru            , WRX               , 75                , 6                 , 0                 ,2                 , 2                 , 2                 , 0                 , 0                 , 155                
2001              , Lexus             , Is300             , 212               , 6                 , 0                 ,0                 , 2                 , 4                 , 0                 , 0                 , 156                
2007              , Subaru            , Legacy            , 40                , 6                 , 0                 ,0                 , 0                 , 6                 , 0                 , 0                 , 157                
2008              , Acura             , TL                , 71                , 6                 , 0                 ,0                 , 4                 , 2                 , 0                 , 0                 , 158                
2004              , Subaru            , Forester          , 64                , 6                 , 0                 ,0                 , 0                 , 6                 , 0                 , 0                 , 159                
2010              , Volkswagen        , Gti               , 66                , 4                 , 0                 ,2                 , 0                 , 2                 , 0                 , 0                 , 160                
2016              , Honda             , Civic si          , 72                , 4                 , 0                 ,0                 , 0                 , 4                 , 0                 , 0                 , 161                
2006              , Acura             , Rsx               , 174               , 4                 , 0                 ,2                 , 0                 , 2                 , 0                 , 0                 , 162                
2010              , Audi              , A4                , 197               , 2                 , 0                 ,0                 , 0                 , 2                 , 0                 , 0                 , 163                
2014              , Honda             , Civic             , 101               , 0                 , 0                 ,0                 , 0                 , 0                 , 0                 , 0                 , 164                
2015              , Chevy             , Camaro            , 0                 , 0                 , 0                 ,0                 , 0                 , 0                 , 0                 , 0                 , 165                
2014              , Honda             , Civic             , 70                , 0                 , 0                 ,0                 , 0                 , 0                 , 0                 , 0                 , 166                
